words,,
"?,????,??,?,????,??,??,?,????,??,?,???,?,???,?,??,??,??,??,??,",,
"??,?,??,??,??,?,?,?,?,??,?,?,??,??,??,?,???,???,???,??,",,
"???,??,???,??,?,???,????,???,??,??,??,???,???,????,??,????,???,??,???,??,",??,
"?,??,?,??,?,??,?,??,??,??,?,?,?,?,??,?,???,??,?,??,",??,
"??,?,?,??,?,??,???,???,????,??,??,???,??,??,??,?,??,??,??,?,",,
"?,?,??,??,??,???,??,??,????,???,??,??,??,??,??,??,??,?,??,???,",,
"??,?,??,?,??,??,??,??,??,?,??,?,???,?,?,???,??,??,???,??,",,
"??,?,????,???,???,??,??,?,??,??,????,??,??,???,??,??,??,?,???,??,",,
"?,??,???,???,??,?,??,????,???,??,?,??,??,????,?,??,??,??,??,????,",,
"??,??,??,??,??,??,?,??,?,??,??,?,???,???,???,????,??,?,????,??,",,
"??,??,?,??,???,?,?,?,?,??,??,?,??,?,?,????,???,??,?,?,",,
"?,?,??,???,??,?,?????,?,??,????,???,?,??,??,??,??,?,???,??,?,",,
"????,?,??,???,??,?,??,??,??,??,?,?,???,??,??,???,??,??,?,??,",,
"??,??,??,?,?,?,?,??,?,??,??,??,??,??,?,??,???,??,?,?,",,
"???,?,??,?,?????,??,????,??,???,??,?,?,?,???,??,???,??,??,??,???,",,
"?,????,?,??,??,?,??,??,??,?,?,???,?,???,???,???,??,????,?,??,",,
"?,?,??,??,?,??,?,??,??,?,??,?,?,???,??,?,???,???,??,?,",??,
"??,?,??,??,??,?,?,??,??,???,???,???,?,??,???,??,??,?,???,???,",,
"??,?,?,??,???,????,??,???,??,??,??,??,??,??,?,??,?,??,?????,??,",,
"??,?,?,?,????,??,?,??,?,?,??,??,???,???,??,?,??,??,??,??,",,
"??,?,??,??,???,??,??,???,??,??,??,???,??,???,??,??,???,??,??,?,",,
"???,?,??,??,??,?,??,????,?,??,??,??,??,?,???,?,??,???,?,???,",,
"?,??,??,??,???,?,??,?,??,?,?????,??,???,??,??,???,??,?,??,??,",,
"??,?,??,???,??,????,??,??,?,???,???,?,?,??,??,???,??,????,??,???,",,
"??,??,???,???,???,??,??,??,??,??,????,?,??,??,??,?,???,??,??,????,",,
"??,?,??,?,?,?,??,???,??,?,???,??,???,??,??,?,????,??,????,???,",,
"?,??,?,???,??,??,?,??,???,??,??,???,??,???,????,?,??,??,??,??,",,
"???,??,??,???,??,??,?,?,??,????,??,????,?,??,??,??,??,??,????,??,",,
"??,??,??,???,??,??,??,??,??,????,??,??,?,??,??,???,??,??,???,??,",,
"?,?,???,??,??,??,??,??,????,?,??,?,??,??,??,???,????,??,??,??,",,
"???,?,?,??,?,??,?,??,???,??,????,?,??,??,??,????,?????,?,?,??,",,
"??,??,??,??,???,?,??,??,??,?,???,???,??,?,??,??,?,?,?,??,",,
"??,??,?,?,?,?,??,??,??,?,??,???,??,????,???,??,?,??,??,??,",,
"?,????,??,???,?,?,??,??,??,???,?,?,??,?,?,??,????,??,??,??,",?,
